PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Residential Apartment,3.0,3.0,4.0,11540.0,Semi-furnished,10+,9.0,13.0,1863.0,2.15,Sector 50,single
S,Residential Apartment,4.0,6.0,3.0,20454.0,Semi-furnished,10+,5.0,20.0,3300.0,6.75,Sector 54,single
S,Independent/Builder Floor,4.0,4.0,3.0,10757.86769428388,Semi-furnished,Under Construction,1.0,4.0,3114.0,3.35,Sector 51,single
S,Residential Apartment,4.0,4.0,4.0,18848.0,Semi-furnished,5-10,5.0,19.0,3979.0,7.5,DLF Phase 5,single
S,Independent/Builder Floor,4.0,4.0,2.0,9206.0,Semi-furnished,1-5,1.0,3.0,3150.0,2.9,Sector 65,single
S,Independent House/Villa,4.0,4.0,3.0,26234.0,Semi-furnished,1-5,3.0,3.0,1620.0,4.25,South City 1,multi
S,Residential Apartment,2.0,2.0,3.0,12880.0,Semi-furnished,Under Construction,7.0,34.0,1250.0,1.61,Sector 65,single
S,Independent/Builder Floor,5.0,5.0,3.0,8523.866827115924,Furnished,0-1,1.0,4.0,4986.0,4.25,Malibu Town,single
S,Residential Apartment,3.0,4.0,3.0,11132.0,Semi-furnished,5-10,3.0,16.0,2560.0,2.85,Sector 48,single
S,Residential Apartment,3.0,5.0,4.0,17469.0,Furnished,1-5,12.0,17.0,2719.0,5.45,Sector 48,single
S,Residential Apartment,4.0,4.0,4.0,24166.0,Semi-furnished,1-5,15.0,17.0,3931.0,9.4996546,Sector 48,single
R,Residential Apartment,2.0,2.0,1.0,15000.0,Unfurnished,1-5,12.0,14.0,603.0,0.9045,Sector 70A,single
S,Residential Apartment,2.0,2.0,1.0,6857.0,Semi-furnished,1-5,5.0,15.0,700.0,0.48,Sector 70A,single
R,Residential Apartment,2.0,2.0,1.0,16000.0,Semi-furnished,1-5,6.0,17.0,700.0,1.12,Sector 70A,single
R,Residential Apartment,2.0,2.0,1.0,23000.0,Semi-furnished,0-1,6.0,15.0,700.0,1.61,Sector 67A,single
S,Independent/Builder Floor,4.0,5.0,2.0,7716.049382716049,Unfurnished,1-5,3.0,3.0,3240.0,2.5,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,3.0,6901.709401709401,Unfurnished,1-5,2.0,4.0,4680.0,3.23,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,2.0,7051.282051282052,Unfurnished,1-5,3.0,4.0,4680.0,3.3,Palam Vihar,single
S,Independent/Builder Floor,3.0,3.0,2.0,8106.9958847736625,Unfurnished,1-5,2.0,4.0,2430.0,1.97,Palam Vihar,single
S,Independent/Builder Floor,3.0,3.0,2.0,8971.19341563786,Unfurnished,1-5,3.0,4.0,2430.0,2.18,Palam Vihar,single
S,Independent/Builder Floor,3.0,3.0,2.0,6818.0,Semi-furnished,1-5,1.0,4.0,2200.0,1.5,Sector 4,single
S,Independent House/Villa,4.0,4.0,4.0,22222.222222222223,Semi-furnished,5-10,3.0,3.0,2430.0,5.4,Palam Vihar,multi
