,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,AGE,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,total_facilities,furnishing_type
250,3.0,3.0,1.0,11418.533157663593,0-1,2277.0,2.6,Sector 31,2,1
251,2.0,2.0,1.0,7500.0,0-1,800.0,0.6,Sector 67,3,0
252,4.0,4.0,2.0,25283.0,1-5,4944.0,12.4999152,Sector 65,5,0
253,3.0,2.0,3.0,7863.0,0-1,1081.0,0.85,Sohna,4,0
254,3.0,3.0,3.0,14545.0,1-5,1650.0,2.4,Sector 65,2,1
255,2.0,2.0,3.0,8048.0,1-5,1640.0,1.32,Sector 85,4,0
256,3.0,4.0,3.0,25970.0,10+,1983.0,5.15,Sector 54,4,0
257,3.0,3.0,4.0,9142.0,1-5,1750.0,1.6,Sector 109,4,1
258,3.0,3.0,4.0,16545.0,1-5,1698.0,1.82,Sector 102,4,1
259,3.0,4.0,3.0,20897.0,0-1,2033.0,3.4,Sector 63,6,0
260,4.0,5.0,4.0,22162.0,0-1,2321.0,4.1,Sector 63,6,0
261,4.0,5.0,4.0,14183.0,10+,3490.0,4.95,Sector 53,4,0
262,3.0,2.0,4.0,10608.0,1-5,1084.0,1.15,Sector 88A,2,1
263,2.0,2.0,4.0,8791.0,1-5,1365.0,1.2,Sector 99,4,1
264,3.0,3.0,1.0,8500.0,1-5,2150.0,1.83,Sector 99,3,0
265,3.0,3.0,2.0,8500.0,1-5,1770.0,1.5,Sector 99,3,0
266,3.0,5.0,3.0,10629.0,1-5,1997.0,1.7,Sector 99A,5,0
267,4.0,5.0,4.0,8888.0,0-1,2475.0,2.2,Sector 92,4,0
268,3.0,3.0,2.0,11216.0,1-5,1578.0,1.77,Sector 69,4,0
269,3.0,3.0,2.0,11089.0,1-5,1578.0,1.75,Sector 69,4,0
270,3.0,4.0,3.0,17500.0,1-5,2358.0,3.5,Sector 67,4,0
271,3.0,4.0,3.0,17647.0,5-10,2040.0,3.6,DLF Phase 4,3,0
272,2.0,2.0,2.0,7874.0,1-5,1270.0,1.0,Sector 84,4,1
273,4.0,5.0,4.0,13050.0,5-10,2950.0,3.85,Sector 111,4,1
274,3.0,2.0,2.0,10228.0,Under Construction,1359.0,1.39,Sector 104,5,0
275,3.0,3.0,2.0,11528.0,Under Construction,1430.0,1.65,Gwal Pahari,5,0
276,2.0,3.0,4.0,5973.0,1-5,1741.0,1.28,Sector 85,4,0
277,2.0,2.0,4.0,6163.0,1-5,1671.0,1.25,Sector 85,4,0
278,1.0,1.0,1.0,28000.0,0-1,600.0,1.68,Sushant Lok Phase 1,3,0
279,3.0,3.0,2.0,7204.0,1-5,1735.0,1.25,Sector 83,5,1
280,3.0,3.0,4.0,9519.0,Under Construction,1996.0,1.9,Sector-33 Sohna,4,1
281,4.0,4.0,4.0,13207.0,1-5,2650.0,3.5,Sector 67,4,0
282,4.0,5.0,4.0,9583.0,5-10,2400.0,2.3,Sector 70,6,0
283,3.0,3.0,3.0,9976.0,Under Construction,1704.0,1.7,Sector 69,6,0
284,4.0,4.0,4.0,15625.0,0-1,2400.0,3.75,Sector-33 Sohna,4,1
285,4.0,6.0,1.0,22506.0,Under Construction,4175.0,6.25,MG Road,4,0
286,3.0,2.0,4.0,7076.0,1-5,1081.0,0.765,Sohna,4,0
287,3.0,2.0,4.0,7215.0,1-5,1081.0,0.78,Sohna,4,0
288,3.0,2.0,4.0,7169.0,1-5,1081.0,0.775,Sohna,4,0
289,3.0,4.0,4.0,17185.0,1-5,3887.0,6.68,Sector 65,5,0
290,4.0,4.0,4.0,15625.0,1-5,4160.0,6.5,Sector 49,4,0
291,3.0,4.0,4.0,11521.0,5-10,2734.0,3.15,Sector 28,3,0
292,3.0,4.0,4.0,20495.0,1-5,3025.0,6.2,Sector 59,6,0
293,2.0,2.0,3.0,8148.0,1-5,1534.0,1.25,Sector 84,4,1
294,2.0,2.0,3.0,27000.0,1-5,1270.0,3.429,Sector 84,4,1
295,2.0,2.0,2.0,20000.0,1-5,800.0,1.6,Sector 70A,4,0
296,2.0,2.0,4.0,7942.0,Under Construction,1385.0,1.1,Sector-33 Sohna,4,1
297,3.0,4.0,3.0,16945.0,Under Construction,2095.0,4.32,Sector 59,6,0
298,3.0,4.0,3.0,10882.0,0-1,2150.0,1.85,Sector 79,3,0
299,3.0,3.0,3.0,6632.0,1-5,1960.0,1.3,Sector 82,4,1
300,2.0,2.0,3.0,8148.0,1-5,1534.0,1.25,Sector 84,4,1
301,2.0,2.0,3.0,13956.0,Under Construction,1433.0,2.0,Sector 65,5,1
302,3.0,3.0,4.0,16416.0,0-1,2588.0,4.25,Sector 62,5,0
303,4.0,5.0,2.0,9722.222222222224,0-1,3240.0,3.15,South City 2,3,1
304,4.0,5.0,4.0,8000.0,0-1,3950.0,3.16,Sector 85,4,0
305,2.0,2.0,4.0,7247.0,1-5,1366.0,0.99,Sector 107,2,0
306,3.0,3.0,4.0,9183.0,0-1,1960.0,1.8,Sector 28,3,0
307,2.0,2.0,2.0,7251.0,Under Construction,630.0,0.38,Sector 89,4,0
308,3.0,3.0,4.0,9302.0,0-1,1935.0,1.8,Sector 42,3,0
309,3.0,3.0,3.0,8999.0,1-5,1877.0,1.68,Sector 37D,4,0
